,ENGAGED_df6,prob,prob_d
48721,0,0.739805757820096,1
50079,0,0.07422010716133698,0
35096,1,0.8185821008205726,1
33774,0,0.17052968133655821,0
5884,0,0.09182301477694878,0
6348,0,0.17797415172743816,0
850,0,0.11662004481350503,0
19059,0,0.12435685812851498,0
35631,0,0.1756261702545132,0
30402,0,0.0880902638132164,0
28954,0,0.08581872173278736,0
57618,0,0.16988062426316938,0
19431,0,0.10980337186840738,0
27402,0,0.1342757153491797,0
81564,1,0.893316512691472,1
55880,0,0.11242908762974213,0
28287,1,0.18288427180362102,0
3776,0,0.09146480059525877,0
72221,0,0.1836497429025425,0
80694,0,0.11072466878006132,0
34093,1,0.9634334752489583,1
9422,0,0.09900089826258628,0
42380,1,0.677451389240988,1
54239,0,0.15211089435314618,0
1508,0,0.13814317627261458,0
46540,1,0.6961964719894154,1
68605,0,0.09942275707881838,0
37863,1,0.09433242658696897,0
33266,0,0.2327930162995328,0
66140,0,0.08239573030193104,0
26860,0,0.11859388574993232,0
22486,0,0.13051765386869005,0
41183,0,0.9134117184155914,1
44436,1,0.9316260733161268,1
19216,0,0.09199470414041169,0
58031,1,0.8812773160750026,1
31536,0,0.09354144626154899,0
6438,0,0.07842662105999192,0
74855,0,0.11279147308981279,0
27946,1,0.8573907104834313,1
21423,0,0.06471880342157613,0
22609,0,0.13591627532241582,0
58331,0,0.15714150862516987,0
42394,0,0.08286697398810926,0
24024,0,0.11787256255428642,0
77296,0,0.13001994084177404,0
1570,1,0.9701710792710914,1
55257,0,0.09162825302780497,0
79546,1,0.16373599973572844,0
40815,0,0.20852505647939162,0
50567,1,0.10442905282510676,0
57453,0,0.11568349819109791,0
71238,0,0.18292346755458225,0
16756,0,0.07386830743895474,0
23588,0,0.32042618135756973,1
62227,1,0.20392799876278853,0
4211,0,0.11642273616556545,0
40749,1,0.09424839592189589,0
17017,0,0.1468160395670839,0
10291,0,0.17962057402627274,0
67025,0,0.06238771666359789,0
76444,0,0.22678667403647892,0
29088,1,0.9148984580306546,1
45752,0,0.10072629458768846,0
44292,0,0.10588152820058348,0
28226,1,0.0961968566790306,0
38235,0,0.1867747564266143,0
62491,1,0.07361709666847632,0
75228,0,0.09809870123572603,0
21622,0,0.11130021868087939,0
59879,1,0.9061259387868827,1
67896,0,0.07844676776833431,0
69024,0,0.05363481819679364,0
62866,0,0.3318777391876709,1
27366,1,0.999963261179498,1
40245,0,0.08511957956208635,0
77446,0,0.05923156280951534,0
2744,0,0.08635997976746418,0
28542,0,0.10069440525381154,0
16183,0,0.07377021489915747,0
66088,1,0.8999503995384144,1
48097,0,0.11791570094984195,0
33499,0,0.11282532768400985,0
52586,1,0.9298964990146821,1
11837,0,0.09345787967725823,0
39986,0,0.10934591837675804,0
22924,1,0.12430135751404779,0
76271,0,0.12001012913507998,0
72242,0,0.09212676700351766,0
11455,0,0.14915813339234377,0
63757,0,0.11698841171721153,0
14680,0,0.8190825263053115,1
71830,0,0.09368748787709792,0
38644,0,0.9990640969022258,1
67359,0,0.07285077803166794,0
78064,0,0.13363924268599328,0
73966,0,0.13519372487965467,0
1495,0,0.08040274712439392,0
73751,0,0.11784920916319479,0
72477,0,0.11869205474549954,0
38859,0,0.11059542610889286,0
14112,0,0.12215254938780909,0
32088,0,0.22118172281727633,0
35330,0,0.12969518791701187,0
13003,0,0.14685922486899744,0
18638,0,0.17407527151524038,0
56821,1,0.07064905642814083,0
16311,0,0.08893389608582368,0
42808,0,0.28468445327331454,1
56583,0,0.08427127369712192,0
81651,0,0.12738351335175244,0
65396,0,0.08041493142033061,0
31780,0,0.16282538029058216,0
80833,0,0.10767322588733014,0
67619,0,0.15496988763588873,0
24213,1,0.830536207932535,1
78930,0,0.07739361284677423,0
16579,0,0.09068482042643752,0
63715,0,0.07801947991839643,0
61001,0,0.08560547173782365,0
41113,0,0.09309444258850505,0
7921,0,0.1445992547213299,0
31626,0,0.11752889684603324,0
29729,0,0.0653001541363771,0
68194,0,0.07026364170635684,0
62110,0,0.1122025896847061,0
26194,1,0.09631147256926838,0
13349,0,0.07031046283375517,0
19295,0,0.09109683496560327,0
7589,0,0.09111821987516293,0
57169,1,0.8851574366052111,1
39240,0,0.11975961216637335,0
73414,0,0.10450537016828336,0
16537,1,0.41719653593652073,1
78329,0,0.1947926267174711,0
78499,0,0.23366704584293083,0
13852,0,0.15955151511070123,0
82319,0,0.1340321653910641,0
48104,0,0.06161877392916537,0
42488,0,0.0709444734187812,0
77860,1,0.13029209997459815,0
23690,0,0.13738584309617005,0
77374,0,0.12043979969622097,0
